query	phase	micros	pct_total
job_broad_cast_keyword_company	validate	27	0.003
job_broad_cast_keyword_company	normalize	52	0.006
job_broad_cast_keyword_company	encode	11	0.001
job_broad_cast_keyword_company	image	899106	97.401
job_broad_cast_keyword_company	plan	7432	0.805
job_broad_cast_keyword_company	lftj_build	0	0.0
job_broad_cast_keyword_company	hash_index	0	0.0
job_broad_cast_keyword_company	execute	16352	1.771
job_broad_cast_keyword_company	lftj_execute	0	0.0
job_broad_cast_keyword_company	hash_execute	0	0.0
job_broad_cast_keyword_company	sink_emit	0	0.0
job_broad_cast_keyword_company	sink_finish	31	0.003
job_broad_cast_keyword_company	decode	0	0.0
job_broad_movie_info_star	validate	15	0.117
job_broad_movie_info_star	normalize	17	0.133
job_broad_movie_info_star	encode	11	0.086
job_broad_movie_info_star	image	33	0.258
job_broad_movie_info_star	plan	2288	17.913
job_broad_movie_info_star	lftj_build	0	0.0
job_broad_movie_info_star	hash_index	0	0.0
job_broad_movie_info_star	execute	10345	80.991
job_broad_movie_info_star	lftj_execute	0	0.0
job_broad_movie_info_star	hash_execute	0	0.0
job_broad_movie_info_star	sink_emit	0	0.0
job_broad_movie_info_star	sink_finish	22	0.172
job_broad_movie_info_star	decode	0	0.0
job_q01_top_production	validate	15	0.442
job_q01_top_production	normalize	41	1.209
job_q01_top_production	encode	11	0.324
job_q01_top_production	image	26	0.767
job_q01_top_production	plan	0	0.0
job_q01_top_production	lftj_build	0	0.0
job_q01_top_production	hash_index	0	0.0
job_q01_top_production	execute	0	0.0
job_q01_top_production	lftj_execute	0	0.0
job_q01_top_production	hash_execute	0	0.0
job_q01_top_production	sink_emit	0	0.0
job_q01_top_production	sink_finish	0	0.0
job_q01_top_production	decode	0	0.0
job_q09_voice_us_actor	validate	16	0.002
job_q09_voice_us_actor	normalize	49	0.005
job_q09_voice_us_actor	encode	12	0.001
job_q09_voice_us_actor	image	28	0.003
job_q09_voice_us_actor	plan	4896	0.498
job_q09_voice_us_actor	lftj_build	682770	69.471
job_q09_voice_us_actor	hash_index	0	0.0
job_q09_voice_us_actor	execute	977726	99.483
job_q09_voice_us_actor	lftj_execute	294944	30.01
job_q09_voice_us_actor	hash_execute	0	0.0
job_q09_voice_us_actor	sink_emit	0	0.0
job_q09_voice_us_actor	sink_finish	18	0.002
job_q09_voice_us_actor	decode	0	0.0
job_q16_character_title_us	validate	15	2.419
job_q16_character_title_us	normalize	39	6.29
job_q16_character_title_us	encode	11	1.774
job_q16_character_title_us	image	26	4.194
job_q16_character_title_us	plan	0	0.0
job_q16_character_title_us	lftj_build	0	0.0
job_q16_character_title_us	hash_index	0	0.0
job_q16_character_title_us	execute	0	0.0
job_q16_character_title_us	lftj_execute	0	0.0
job_q16_character_title_us	hash_execute	0	0.0
job_q16_character_title_us	sink_emit	0	0.0
job_q16_character_title_us	sink_finish	0	0.0
job_q16_character_title_us	decode	0	0.0
job_q24_voice_keyword_actor	validate	16	0.043
job_q24_voice_keyword_actor	normalize	50	0.134
job_q24_voice_keyword_actor	encode	11	0.03
job_q24_voice_keyword_actor	image	31	0.083
job_q24_voice_keyword_actor	plan	649	1.743
job_q24_voice_keyword_actor	lftj_build	33592	90.24
job_q24_voice_keyword_actor	hash_index	0	0.0
job_q24_voice_keyword_actor	execute	36361	97.679
job_q24_voice_keyword_actor	lftj_execute	2756	7.404
job_q24_voice_keyword_actor	hash_execute	0	0.0
job_q24_voice_keyword_actor	sink_emit	0	0.0
job_q24_voice_keyword_actor	sink_finish	43	0.116
job_q24_voice_keyword_actor	decode	0	0.0
job_movie_link_bridge	validate	15	0.668
job_movie_link_bridge	normalize	18	0.802
job_movie_link_bridge	encode	10	0.445
job_movie_link_bridge	image	34	1.514
job_movie_link_bridge	plan	959	42.717
job_movie_link_bridge	lftj_build	0	0.0
job_movie_link_bridge	hash_index	0	0.0
job_movie_link_bridge	execute	1132	50.423
job_movie_link_bridge	lftj_execute	0	0.0
job_movie_link_bridge	hash_execute	0	0.0
job_movie_link_bridge	sink_emit	0	0.0
job_movie_link_bridge	sink_finish	35	1.559
job_movie_link_bridge	decode	0	0.0
job_q33_linked_series_companies	validate	16	11.348
job_q33_linked_series_companies	normalize	51	36.17
job_q33_linked_series_companies	encode	11	7.801
job_q33_linked_series_companies	image	26	18.44
job_q33_linked_series_companies	plan	0	0.0
job_q33_linked_series_companies	lftj_build	0	0.0
job_q33_linked_series_companies	hash_index	0	0.0
job_q33_linked_series_companies	execute	0	0.0
job_q33_linked_series_companies	lftj_execute	0	0.0
job_q33_linked_series_companies	hash_execute	0	0.0
job_q33_linked_series_companies	sink_emit	0	0.0
job_q33_linked_series_companies	sink_finish	0	0.0
job_q33_linked_series_companies	decode	0	0.0
